"InvEventFK","newtaxa","InvCount.sum"
"CBay13_0004","Diporeia",159
"CBay13_0004","Harnischia",1
"CBay13_0004","Limnodrilus hoffmeisteri",54
"CBay13_0004","Manayunkia speciosa",13
"CBay13_0004","Nematoda",8
"CBay13_0004","Paracladopelma",1
"CBay13_0004","Pisidium henslowanum",93
"CBay13_0004","Probezzia",1
"CBay13_0004","Procladius",9
"CBay13_0004","Spirosperma ferox",74
"CBay13_0004","Tanytarsus",5
"CBay13_0004","Valvata lewisi",2
"CBay13_0004","Valvata tricarinata",1
"CBay13_0005","Amnicola limosa",17
"CBay13_0005","Arcteonais lomondi",5
"CBay13_0005","Bythotrephes longimanus",1
"CBay13_0005","Chironomus",1
"CBay13_0005","Cincinnatia cincinnatiensis",10
"CBay13_0005","Cladotanytarsus mancus group",2
"CBay13_0005","Cladotanytarsus vanderwulpi group Sp. 3",1
"CBay13_0005","Cryptochironomus",1
"CBay13_0005","Gyraulus parvus",1
"CBay13_0005","Heterotrissocladius marcidus group",2
"CBay13_0005","Lebertia",1
"CBay13_0005","Limnodrilus hoffmeisteri",2
"CBay13_0005","Manayunkia speciosa",28
"CBay13_0005","Microtendipes pedellus group",1
"CBay13_0005","Musculium partumeium",2
"CBay13_0005","Mystacides sepulchralis",1
"CBay13_0005","Nematoda",11
"CBay13_0005","Pisidium fallax",69
"CBay13_0005","Polypedilum scalaenum group",7
"CBay13_0005","Procladius",3
"CBay13_0005","Sphaerium nitidum",18
"CBay13_0005","Sphaerium striatinum",2
"CBay13_0005","Spirosperma ferox",24
"CBay13_0005","Stempellinella",3
"CBay13_0005","Tanytarsus",9
"CBay13_0005","Uncinais uncinata",8
"CBay13_0005","Valvata lewisi",2
"CBay13_0005","Valvata tricarinata",1
"CBay13_0006","Amnicola limosa",2
"CBay13_0006","Arcteonais lomondi",29
"CBay13_0006","Bythotrephes longimanus",1
"CBay13_0006","Caecidotea racovitzai",2
"CBay13_0006","Cladotanytarsus mancus group",16
"CBay13_0006","Cryptotendipes",2
"CBay13_0006","Diporeia",9
"CBay13_0006","Heterotrissocladius marcidus group",10
"CBay13_0006","Hexagenia limbata",2
"CBay13_0006","Limnodrilus hoffmeisteri",8
"CBay13_0006","Lymnaea",1
"CBay13_0006","Manayunkia speciosa",70
"CBay13_0006","Musculium partumeium",2
"CBay13_0006","Nematoda",7
"CBay13_0006","Piguetiella michiganensis",1
"CBay13_0006","Pisidium fallax",55
"CBay13_0006","Pisidium nitidum",2
"CBay13_0006","Platyhelminthes",4
"CBay13_0006","Polypedilum scalaenum group",4
"CBay13_0006","Procladius",8
"CBay13_0006","Spirosperma ferox",33
"CBay13_0006","Tanytarsus",6
"CBay13_0006","Tubificinae With setal hair chaeta",1
"CBay13_0006","Uncinais uncinata",8
"CBay13_0006","Valvata lewisi",2
"CBay13_0007","Amnicola limosa",2
"CBay13_0007","Arcteonais lomondi",66
"CBay13_0007","Aulodrilus americanus",13
"CBay13_0007","Bythotrephes longimanus",4
"CBay13_0007","Caecidotea racovitzai",7
"CBay13_0007","Cladotanytarsus mancus group",44
"CBay13_0007","Cryptochironomus",22
"CBay13_0007","Cryptotendipes",1
"CBay13_0007","Diporeia",19
"CBay13_0007","Gammarus fasciatus",4
"CBay13_0007","Heterotrissocladius marcidus group",19
"CBay13_0007","Hydra",1
"CBay13_0007","Manayunkia speciosa",62
"CBay13_0007","Musculium transversum",3
"CBay13_0007","Mystacides sepulchralis",5
"CBay13_0007","Nematoda",21
"CBay13_0007","Oecetis nocturna",1
"CBay13_0007","Paracladopelma",1
"CBay13_0007","Piona",1
"CBay13_0007","Pisidium conventus",1
"CBay13_0007","Pisidium nitidum f. pauperculum",74
"CBay13_0007","Platyhelminthes",2
"CBay13_0007","Polypedilum scalaenum group",2
"CBay13_0007","Procladius",13
"CBay13_0007","Protanypus",1
"CBay13_0007","Sphaerium striatinum",1
"CBay13_0007","Spirosperma ferox",195
"CBay13_0007","Stictochironomus",1
"CBay13_0007","Tanytarsus",1
"CBay13_0007","Tubificinae With setal hair chaeta",2
"CBay13_0007","Valvata tricarinata",2
"CBay13_0008","Ablabesmyia mallochi",1
"CBay13_0008","Agraylea",5
"CBay13_0008","Amnicola limosa",41
"CBay13_0008","Arcteonais lomondi",1
"CBay13_0008","Caecidotea racovitzai",25
"CBay13_0008","Cincinnatia cincinnatiensis",2
"CBay13_0008","Coenagrionidae",2
"CBay13_0008","Crangonyx",7
"CBay13_0008","Crassiclitellata",2
"CBay13_0008","Cricotopus lebetis",2
"CBay13_0008","Cryptotendipes",1
"CBay13_0008","Dicrotendipes",1
"CBay13_0008","Enchytraeidae",1
"CBay13_0008","Gammarus fasciatus",97
"CBay13_0008","Gyraulus parvus",7
"CBay13_0008","Harnischia",1
"CBay13_0008","Helobdella stagnalis",1
"CBay13_0008","Heterotrissocladius marcidus group",1
"CBay13_0008","Hyalella",22
"CBay13_0008","Hydra",6
"CBay13_0008","Hygrobates",1
"CBay13_0008","Lebertia",1
"CBay13_0008","Limnesia",1
"CBay13_0008","Limnodrilus hoffmeisteri",14
"CBay13_0008","Manayunkia speciosa",133
"CBay13_0008","Microtendipes pedellus group",26
"CBay13_0008","Nais variabilis",6
"CBay13_0008","Nematoda",22
"CBay13_0008","Oecetis nocturna",1
"CBay13_0008","Orthocladius",1
"CBay13_0008","Parachironomus tenuicaudatus complex",2
"CBay13_0008","Paratanytarsus",5
"CBay13_0008","Physa",8
"CBay13_0008","Pisidium fallax",32
"CBay13_0008","Platyhelminthes",131
"CBay13_0008","Polycentropus",14
"CBay13_0008","Polypedilum scalaenum group",3
"CBay13_0008","Potthastia longimana",1
"CBay13_0008","Probezzia",2
"CBay13_0008","Procladius",28
"CBay13_0008","Psectrocladius vernalis",2
"CBay13_0008","Ripistes parasita",4
"CBay13_0008","Sphaerium striatinum",4
"CBay13_0008","Spirosperma ferox",149
"CBay13_0008","Stempellinella",1
"CBay13_0008","Stylaria lacustris",24
"CBay13_0008","Tanytarsus",46
"CBay13_0008","Torrenticola",1
"CBay13_0008","Tubificinae With setal hair chaeta",6
"CBay13_0008","Unionicola",1
"CBay13_0008","Valvata tricarinata",1
"CBay13_0009","Amnicola limosa",3
"CBay13_0009","Aulodrilus americanus",8
"CBay13_0009","Caenis hilaris",1
"CBay13_0009","Campeloma decisum",2
"CBay13_0009","Cincinnatia cincinnatiensis",71
"CBay13_0009","Cladotanytarsus mancus group",2
"CBay13_0009","Cryptochironomus",3
"CBay13_0009","Gammarus fasciatus",1
"CBay13_0009","Hexagenia limbata",3
"CBay13_0009","Lampsilis siliquoidea",1
"CBay13_0009","Lebertia",1
"CBay13_0009","Manayunkia speciosa",65
"CBay13_0009","Nematoda",40
"CBay13_0009","Oecetis inconspicua complex sp. A",5
"CBay13_0009","Oecetis nocturna",1
"CBay13_0009","Phylocentropus placidus",1
"CBay13_0009","Physa",7
"CBay13_0009","Pisidium amnicum",71
"CBay13_0009","Pisidium dubium",1
"CBay13_0009","Procladius",2
"CBay13_0009","Sparbarus lacustris",1
"CBay13_0009","Sparbarus maculatus",1
"CBay13_0009","Sparganophilidae",3
"CBay13_0009","Sphaerium striatinum",6
"CBay13_0009","Spirosperma ferox",204
"CBay13_0009","Stictochironomus",20
"CBay13_0009","Stylaria lacustris",3
"CBay13_0009","Tanytarsus",21
"CBay13_0009","Tubificinae With setal hair chaeta",1
"CBay13_0009","Valvata tricarinata",3
"CBay13_0010","Enchytraeidae",3
"CBay13_0010","Hygrobates",1
"CBay13_0010","Phaenopsectra obediens group",1
"CBay13_0010","Pisidium fallax",10
"CBay13_0010","Polypedilum halterale group",2
"CBay13_0010","Robackia demeijerei",21
"CBay13_0010","Sphaerium striatinum",4
"CBay13_0010","Stictochironomus",8
"CBay13_0010","Uncinais uncinata",3
"CBay13_0011","Ablabesmyia mallochi",1
"CBay13_0011","Bythotrephes longimanus",16
"CBay13_0011","Diporeia",192
"CBay13_0011","Gammarus fasciatus",1
"CBay13_0011","Heterotrissocladius subpilosus group",1
"CBay13_0011","Hygrobates",1
"CBay13_0011","Limnodrilus hoffmeisteri",3
"CBay13_0011","Nematoda",12
"CBay13_0011","Pisidium fallax",68
"CBay13_0011","Procladius",1
"CBay13_0011","Protanypus",1
"CBay13_0011","Spirosperma ferox",4
"CBay13_0011","Tubificinae w/O setal hair chaeta",5
"CBay13_0013","Ablabesmyia annulata",1
"CBay13_0013","Amnicola limosa",15
"CBay13_0013","Caenis hilaris",31
"CBay13_0013","Campeloma decisum",2
"CBay13_0013","Cladotanytarsus mancus group",26
"CBay13_0013","Cladotanytarsus vanderwulpi group Sp. 3",5
"CBay13_0013","Cryptochironomus",6
"CBay13_0013","Gammarus fasciatus",20
"CBay13_0013","Gyraulus parvus",12
"CBay13_0013","Helicopsyche borealis",3
"CBay13_0013","Hygrobates",2
"CBay13_0013","Lebertia",5
"CBay13_0013","Limnodrilus hoffmeisteri",3
"CBay13_0013","Manayunkia speciosa",8
"CBay13_0013","Molanna flavicornis",1
"CBay13_0013","Nais variabilis",7
"CBay13_0013","Nematoda",17
"CBay13_0013","Nilothauma",1
"CBay13_0013","Oecetis inconspicua complex sp. A",2
"CBay13_0013","Paracladopelma",3
"CBay13_0013","Phylocentropus placidus",2
"CBay13_0013","Physa",2
"CBay13_0013","Piona",1
"CBay13_0013","Pisidium fallax",24
"CBay13_0013","Polycentropus",3
"CBay13_0013","Polypedilum scalaenum group",4
"CBay13_0013","Procladius",1
"CBay13_0013","Pseudochironomus",2
"CBay13_0013","Ripistes parasita",2
"CBay13_0013","Sparbarus lacustris",1
"CBay13_0013","Sparbarus maculatus",13
"CBay13_0013","Sparganophilidae",3
"CBay13_0013","Sphaerium striatinum",9
"CBay13_0013","Spirosperma ferox",1
"CBay13_0013","Stictochironomus",20
"CBay13_0013","Stylaria lacustris",15
"CBay13_0013","Tanytarsus",20
"CBay13_0013","Thienemanniella xena",3
"CBay13_0013","Unionicola",1
"CBay13_0014","Amnicola limosa",16
"CBay13_0014","Arcteonais lomondi",17
"CBay13_0014","Aulodrilus americanus",44
"CBay13_0014","Aulodrilus limnobius",1
"CBay13_0014","Bythotrephes longimanus",1
"CBay13_0014","Chironomus",1
"CBay13_0014","Cladotanytarsus mancus group",4
"CBay13_0014","Cryptochironomus",5
"CBay13_0014","Ephemera simulans",1
"CBay13_0014","Gammarus fasciatus",8
"CBay13_0014","Heterotrissocladius marcidus group",4
"CBay13_0014","Hexagenia limbata",3
"CBay13_0014","Hyalella",1
"CBay13_0014","Hydra",5
"CBay13_0014","Manayunkia speciosa",10
"CBay13_0014","Musculium transversum",2
"CBay13_0014","Mystacides sepulchralis",3
"CBay13_0014","Nematoda",33
"CBay13_0014","Oecetis nocturna",1
"CBay13_0014","Pagastiella",1
"CBay13_0014","Piguetiella blanci",1
"CBay13_0014","Pisidium conventus",1
"CBay13_0014","Pisidium nitidum",120
"CBay13_0014","Pisidium punctatum",1
"CBay13_0014","Platyhelminthes",1
"CBay13_0014","Polypedilum scalaenum group",7
"CBay13_0014","Potamothrix moldaviensis",1
"CBay13_0014","Procladius",2
"CBay13_0014","Pseudochironomus",2
"CBay13_0014","Sphaerium striatinum",4
"CBay13_0014","Spirosperma ferox",34
"CBay13_0014","Stylaria lacustris",1
"CBay13_0014","Tubificinae With setal hair chaeta",4
"CBay13_0014","Valvata lewisi",13
"CBay13_0014","Valvata tricarinata",1
"CBay13_0015","Ablabesmyia annulata",2
"CBay13_0015","Amnicola limosa",4
"CBay13_0015","Arcteonais lomondi",7
"CBay13_0015","Arrenurus",1
"CBay13_0015","Bythotrephes longimanus",2
"CBay13_0015","Chironomus",3
"CBay13_0015","Cincinnatia cincinnatiensis",3
"CBay13_0015","Diporeia",21
"CBay13_0015","Harnischia",1
"CBay13_0015","Heterotrissocladius marcidus group",2
"CBay13_0015","Hexagenia limbata",7
"CBay13_0015","Limnodrilus hoffmeisteri",6
"CBay13_0015","Manayunkia speciosa",33
"CBay13_0015","Marstonia lustrica",1
"CBay13_0015","Nematoda",2
"CBay13_0015","Pagastiella",28
"CBay13_0015","Pisidium nitidum",22
"CBay13_0015","Platyhelminthes",1
"CBay13_0015","Polypedilum halterale group",1
"CBay13_0015","Potamothrix vejdovskyi",1
"CBay13_0015","Probezzia",1
"CBay13_0015","Procladius",37
"CBay13_0015","Sphaerium striatinum",3
"CBay13_0015","Spirosperma ferox",56
"CBay13_0015","Tanytarsus",19
"CBay13_0015","Valvata lewisi",2
"CBay13_0016","Ablabesmyia annulata",1
"CBay13_0016","Amnicola limosa",4
"CBay13_0016","Bythotrephes longimanus",3
"CBay13_0016","Caecidotea racovitzai",24
"CBay13_0016","Chironomus",1
"CBay13_0016","Cladotanytarsus mancus group",3
"CBay13_0016","Cladotanytarsus vanderwulpi group Sp. 3",1
"CBay13_0016","Cryptochironomus",2
"CBay13_0016","Dicrotendipes",1
"CBay13_0016","Gammarus fasciatus",29
"CBay13_0016","Heterotrissocladius marcidus group",4
"CBay13_0016","Hexagenia limbata",1
"CBay13_0016","Hyalella",17
"CBay13_0016","Hygrobates",1
"CBay13_0016","Limnesia",1
"CBay13_0016","Limnodrilus hoffmeisteri",3
"CBay13_0016","Lirceus",53
"CBay13_0016","Manayunkia speciosa",75
"CBay13_0016","Musculium securis",3
"CBay13_0016","Mystacides sepulchralis",2
"CBay13_0016","Nematoda",50
"CBay13_0016","Oxus",1
"CBay13_0016","Physa",4
"CBay13_0016","Pisidium fallax",15
"CBay13_0016","Polypedilum scalaenum group",7
"CBay13_0016","Procladius",7
"CBay13_0016","Sphaerium nitidum",2
"CBay13_0016","Sphaerium striatinum",5
"CBay13_0016","Spirosperma ferox",72
"CBay13_0016","Stempellinella",2
"CBay13_0016","Stylaria lacustris",7
"CBay13_0016","Synorthocladius",1
"CBay13_0016","Tanytarsus",53
"CBay13_0016","Tubificinae With setal hair chaeta",1
"CBay13_0016","Valvata tricarinata",2
"CBay13_0016","Xenochironomus xenolabis",1
"CBay13_0017","Amnicola limosa",22
"CBay13_0017","Caecidotea racovitzai",267
"CBay13_0017","Chironomus",22
"CBay13_0017","Crassiclitellata",1
"CBay13_0017","Gammarus fasciatus",51
"CBay13_0017","Gyraulus parvus",4
"CBay13_0017","Limnesia",1
"CBay13_0017","Limnodrilus hoffmeisteri",23
"CBay13_0017","Lirceus",1
"CBay13_0017","Manayunkia speciosa",82
"CBay13_0017","Musculium partumeium",6
"CBay13_0017","Nematoda",171
"CBay13_0017","Phylocentropus placidus",19
"CBay13_0017","Physa",4
"CBay13_0017","Pisidium amnicum",6
"CBay13_0017","Pisidium casertanum",4
"CBay13_0017","Pisidium compressum",4
"CBay13_0017","Pisidium dubium",155
"CBay13_0017","Pisidium fallax",1
"CBay13_0017","Pisidium nitidum",2
"CBay13_0017","Procladius",33
"CBay13_0017","Sparganophilidae",12
"CBay13_0017","Spirosperma ferox",227
"CBay13_0017","Tanytarsus",9
"CBay13_0017","Triaenodes flavescens",1
"CBay13_0017","Tribelos jucundum",2
"CBay13_0017","Tubificinae With setal hair chaeta",1
"CBay13_0018","Amnicola limosa",7
"CBay13_0018","Arcteonais lomondi",1
"CBay13_0018","Bythotrephes longimanus",1
"CBay13_0018","Caecidotea racovitzai",67
"CBay13_0018","Cambaridae",2
"CBay13_0018","Chironomus",1
"CBay13_0018","Cladotanytarsus mancus group",2
"CBay13_0018","Crassiclitellata",3
"CBay13_0018","Cryptochironomus",2
"CBay13_0018","Diporeia",16
"CBay13_0018","Gammarus fasciatus",66
"CBay13_0018","Heterotrissocladius marcidus group",10
"CBay13_0018","Hexagenia limbata",1
"CBay13_0018","Hydra",1
"CBay13_0018","Limnodrilus hoffmeisteri",2
"CBay13_0018","Lirceus",3
"CBay13_0018","Manayunkia speciosa",230
"CBay13_0018","Musculium transversum",6
"CBay13_0018","Nematoda",11
"CBay13_0018","Parachironomus tenuicaudatus complex",1
"CBay13_0018","Pisidium casertanum",3
"CBay13_0018","Pisidium conventus",1
"CBay13_0018","Pisidium lilljeborgi f. cristatum",1
"CBay13_0018","Pisidium nitidum",125
"CBay13_0018","Polypedilum scalaenum group",2
"CBay13_0018","Procladius",13
"CBay13_0018","Sphaerium striatinum",6
"CBay13_0018","Spirosperma ferox",91
"CBay13_0018","Stempellinella",3
"CBay13_0018","Stylaria lacustris",36
"CBay13_0018","Tanytarsus",28
"CBay13_0018","Valvata lewisi",1
"CBay13_0019","Ablabesmyia annulata",6
"CBay13_0019","Bythotrephes longimanus",2
"CBay13_0019","Caenis hilaris",1
"CBay13_0019","Chironomus",2
"CBay13_0019","Cryptochironomus",2
"CBay13_0019","Demicryptochironomus",2
"CBay13_0019","Diporeia",1
"CBay13_0019","Helobdella stagnalis",1
"CBay13_0019","Hexagenia limbata",2
"CBay13_0019","Hygrobates",1
"CBay13_0019","Limnodrilus hoffmeisteri",144
"CBay13_0019","Nematoda",16
"CBay13_0019","Pisidium walkeri",54
"CBay13_0019","Procladius",44
"CBay13_0019","Spirosperma ferox",10
"CBay13_0019","Stictochironomus",1
"CBay13_0019","Tanytarsus",31
"CBay13_0019","Tubificinae With setal hair chaeta",2
"CBay13_0020","Amnicola limosa",7
"CBay13_0020","Cladotanytarsus mancus group",2
"CBay13_0020","Gammarus fasciatus",3
"CBay13_0020","Hexagenia limbata",5
"CBay13_0020","Limnodrilus hoffmeisteri",14
"CBay13_0020","Lymnaea",8
"CBay13_0020","Manayunkia speciosa",93
"CBay13_0020","Molanna flavicornis",2
"CBay13_0020","Nematoda",78
"CBay13_0020","Oecetis nocturna",1
"CBay13_0020","Parachironomus tenuicaudatus complex",11
"CBay13_0020","Phylocentropus placidus",1
"CBay13_0020","Pisidium dubium",1
"CBay13_0020","Pisidium lilljeborgi f. cristatum",10
"CBay13_0020","Platyhelminthes",1
"CBay13_0020","Probezzia",3
"CBay13_0020","Procladius",11
"CBay13_0020","Sphaerium striatinum",38
"CBay13_0020","Spirosperma ferox",97
"CBay13_0020","Stempellinella",3
"CBay13_0020","Stictochironomus",1
"CBay13_0020","Tanytarsus",55
"CBay13_0020","Tubificinae With setal hair chaeta",2
"CBay13_0021","Amnicola limosa",9
"CBay13_0021","Aulodrilus americanus",2
"CBay13_0021","Aulodrilus pluriseta",2
"CBay13_0021","Caecidotea racovitzai",27
"CBay13_0021","Chironomus",6
"CBay13_0021","Epoicocladius flavens",1
"CBay13_0021","Harnischia",1
"CBay13_0021","Hexagenia limbata",9
"CBay13_0021","Limnodrilus hoffmeisteri",78
"CBay13_0021","Manayunkia speciosa",5
"CBay13_0021","Musculium transversum",1
"CBay13_0021","Nematoda",96
"CBay13_0021","Ophidonais serpentina",1
"CBay13_0021","Phylocentropus placidus",1
"CBay13_0021","Pisidium henslowanum",38
"CBay13_0021","Probezzia",1
"CBay13_0021","Procladius",23
"CBay13_0021","Spirosperma ferox",20
"CBay13_0021","Tanytarsus",1
"CBay13_0021","Valvata tricarinata",1
"CBay13_0022","Ablabesmyia annulata",1
"CBay13_0022","Bythotrephes longimanus",3
"CBay13_0022","Caecidotea racovitzai",2
"CBay13_0022","Diporeia",157
"CBay13_0022","Enchytraeidae",1
"CBay13_0022","Harnischia",2
"CBay13_0022","Limnodrilus hoffmeisteri",19
"CBay13_0022","Monodiamesa tuberculata",1
"CBay13_0022","Nematoda",4
"CBay13_0022","Oxus",1
"CBay13_0022","Piona",1
"CBay13_0022","Pisidium fallax",88
"CBay13_0022","Procladius",13
"CBay13_0022","Protanypus",8
"CBay13_0022","Spirosperma ferox",177
"CBay13_0022","Stempellinella",3
"CBay13_0022","Stylodrilus heringianus",6
"CBay13_0022","Tanytarsus",1
"CBay13_0022","Tubificinae With setal hair chaeta",1
"CBay13_0023","Amnicola limosa",5
"CBay13_0023","Arcteonais lomondi",15
"CBay13_0023","Aulodrilus americanus",22
"CBay13_0023","Bythotrephes longimanus",4
"CBay13_0023","Cladotanytarsus mancus group",1
"CBay13_0023","Cryptochironomus",7
"CBay13_0023","Gammarus fasciatus",5
"CBay13_0023","Heterotrissocladius marcidus group",4
"CBay13_0023","Mystacides sepulchralis",4
"CBay13_0023","Nematoda",9
"CBay13_0023","Pisidium fallax",1
"CBay13_0023","Polypedilum scalaenum group",3
"CBay13_0023","Procladius",1
"CBay13_0023","Sphaerium striatinum",41
"CBay13_0023","Spirosperma ferox",34
"CBay13_0023","Valvata lewisi",2
"CBay13_0024","Amnicola limosa",6
"CBay13_0024","Aulodrilus americanus",7
"CBay13_0024","Bythotrephes longimanus",3
"CBay13_0024","Caecidotea racovitzai",14
"CBay13_0024","Cladotanytarsus mancus group",1
"CBay13_0024","Cryptochironomus",2
"CBay13_0024","Diporeia",3
"CBay13_0024","Gammarus fasciatus",18
"CBay13_0024","Heterotrissocladius marcidus group",2
"CBay13_0024","Hexagenia limbata",1
"CBay13_0024","Lebertia",2
"CBay13_0024","Manayunkia speciosa",139
"CBay13_0024","Mystacides interjectus",1
"CBay13_0024","Mystacides sepulchralis",4
"CBay13_0024","Nematoda",82
"CBay13_0024","Pagastiella",3
"CBay13_0024","Paracladopelma",1
"CBay13_0024","Phylocentropus placidus",1
"CBay13_0024","Pisidium nitidum f. pauperculum",43
"CBay13_0024","Polypedilum halterale group",5
"CBay13_0024","Probezzia",4
"CBay13_0024","Procladius",20
"CBay13_0024","Pseudochironomus",1
"CBay13_0024","Sparganophilidae",2
"CBay13_0024","Sphaerium striatinum",7
"CBay13_0024","Spirosperma ferox",181
"CBay13_0024","Tanytarsus",16
"CBay13_0024","Tubificinae With setal hair chaeta",1
"CBay13_0024","Valvata tricarinata",3
"CBay13_0025","Ablabesmyia annulata",2
"CBay13_0025","Arcteonais lomondi",49
"CBay13_0025","Cincinnatia cincinnatiensis",6
"CBay13_0025","Cladotanytarsus mancus group",11
"CBay13_0025","Cladotanytarsus vanderwulpi group sp. 3",3
"CBay13_0025","Cryptochironomus",90
"CBay13_0025","Enchytraeidae",1
"CBay13_0025","Gammarus fasciatus",13
"CBay13_0025","Gyraulus parvus",5
"CBay13_0025","Helicopsyche borealis",1
"CBay13_0025","Hygrobates",2
"CBay13_0025","Limnesia",2
"CBay13_0025","Lipinella",3
"CBay13_0025","Lymnaea",3
"CBay13_0025","Nais variabilis",26
"CBay13_0025","Nematoda",8
"CBay13_0025","Pisidium fallax",99
"CBay13_0025","Pseudochironomus",1
"CBay13_0025","Stictochironomus",18
"CBay13_0025","Thienemanniella lobapodema",1
"CBay13_0025","Tubificinae With setal hair chaeta",4
"CBay13_0025","Uncinais uncinata",2
"CBay13_0026","Chaetogaster limnaei",1
"CBay13_0026","Enchytraeidae",7
"CBay13_0026","Lymnaea",1
"CBay13_0026","Piguetiella michiganensis",3
"CBay13_0026","Pisidium fallax",1
"CBay13_0026","Polypedilum halterale group",6
"CBay13_0026","Robackia demeijerei",21
"CBay13_0026","Stictochironomus",4
"CBay13_0026","Uncinais uncinata",1
"CBay13_0027","Ablabesmyia annulata",1
"CBay13_0027","Amnicola limosa",12
"CBay13_0027","Aulodrilus americanus",39
"CBay13_0027","Caenis hilaris",2
"CBay13_0027","Cladotanytarsus mancus group",5
"CBay13_0027","Cladotanytarsus vanderwulpi group sp. 3",1
"CBay13_0027","Coenagrionidae",1
"CBay13_0027","Cryptochironomus",23
"CBay13_0027","Ephemera simulans",2
"CBay13_0027","Gammarus fasciatus",21
"CBay13_0027","Gyraulus parvus",1
"CBay13_0027","Lymnaea",1
"CBay13_0027","Manayunkia speciosa",2487
"CBay13_0027","Nais variabilis",7
"CBay13_0027","Nectopsyche albida",1
"CBay13_0027","Nematoda",20
"CBay13_0027","Oecetis nocturna",12
"CBay13_0027","Phryganeidae",1
"CBay13_0027","Pisidium adamsi",78
"CBay13_0027","Pisidium amnicum",1
"CBay13_0027","Polypedilum halterale group",1
"CBay13_0027","Sphaerium striatinum",5
"CBay13_0027","Stictochironomus",4
"CBay13_0027","Tanytarsus",6
"CBay13_0027","Thienemanniella boltoni",1
"CBay13_0027","Tubificinae With setal hair chaeta",1
"CBay13_0027","Valvata tricarinata",1
"CBay13_0028","Arcteonais lomondi",1
"CBay13_0028","Arrenurus",2
"CBay13_0028","Bythotrephes longimanus",3
"CBay13_0028","Caecidotea racovitzai",2
"CBay13_0028","Diporeia",164
"CBay13_0028","Harnischia",1
"CBay13_0028","Heterotrissocladius marcidus group",1
"CBay13_0028","Hygrobates",1
"CBay13_0028","Limnodrilus hoffmeisteri",14
"CBay13_0028","Manayunkia speciosa",13
"CBay13_0028","Nematoda",13
"CBay13_0028","Pisidium fallax",1
"CBay13_0028","Polypedilum halterale group",3
"CBay13_0028","Procladius",3
"CBay13_0028","Sphaerium striatinum",13
"CBay13_0028","Spirosperma ferox",109
"CBay13_0028","Tanytarsus",1
"CBay13_0028","Valvata lewisi",7
"CBay13_0028","Valvata tricarinata",2
"CBay13_0029","Amnicola limosa",23
"CBay13_0029","Arcteonais lomondi",3
"CBay13_0029","Caenis hilaris",1
"CBay13_0029","Cladotanytarsus mancus group",5
"CBay13_0029","Cryptochironomus",8
"CBay13_0029","Enchytraeidae",4
"CBay13_0029","Gammarus fasciatus",1
"CBay13_0029","Limnodrilus hoffmeisteri",5
"CBay13_0029","Nais variabilis",2
"CBay13_0029","Nematoda",4
